epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,413.456,1.30595,0.44478,0,0.62758,1.02729,0.96419,0.95231,0.98063,0.63935,0.97124,0.9629,0.9875,0.93812,1.2256,0.30268,0,0.57224,1.03461,0.0015116,0.0015116,0.0015116
39,424.292,1.32494,0.45618,0,0.64027,1.04246,0.9694,0.95687,0.98332,0.62854,0.97226,0.96573,0.9878,0.94333,1.30073,0.29744,0,0.57575,1.058,0.0014984,0.0014984,0.0014984
40,435.363,1.31215,0.4503,0,0.62876,1.04044,0.96397,0.96413,0.98297,0.64954,0.96741,0.97534,0.98795,0.94459,1.20619,0.28297,0,0.54271,1.02607,0.0014852,0.0014852,0.0014852
41,446.549,1.30516,0.44208,0,0.62737,1.02796,0.96031,0.96184,0.98615,0.6578,0.96722,0.96963,0.98961,0.94947,1.18178,0.26981,0,0.54141,1.02113,0.001472,0.001472,0.001472
42,459.542,1.29321,0.43883,0,0.61514,1.02418,0.96449,0.96078,0.9849,0.64644,0.97088,0.96714,0.98848,0.94637,1.23301,0.28415,0,0.55154,1.03111,0.0014588,0.0014588,0.0014588
43,473.937,1.32665,0.44456,0,0.62024,1.03673,0.959,0.96449,0.98418,0.64559,0.96533,0.96979,0.98809,0.94134,1.20864,0.27632,0,0.54463,1.0272,0.0014456,0.0014456,0.0014456
44,487.447,1.35192,0.4659,0,0.63399,1.04861,0.97252,0.95632,0.98191,0.62858,0.9789,0.96449,0.98812,0.93698,1.25594,0.29694,0,0.55077,1.04086,0.0014324,0.0014324,0.0014324
45,498.673,1.28179,0.44307,0,0.61617,1.02154,0.9649,0.96149,0.98544,0.65046,0.9742,0.97085,0.98987,0.94754,1.22639,0.28205,0,0.54588,1.03395,0.0014192,0.0014192,0.0014192
46,509.923,1.29206,0.43278,0,0.61419,1.03519,0.96909,0.96381,0.98434,0.64758,0.97443,0.96947,0.98865,0.94539,1.23544,0.28317,0,0.55885,1.04012,0.001406,0.001406,0.001406
47,520.776,1.29976,0.4383,0,0.61823,1.03287,0.96496,0.96396,0.98325,0.63496,0.97245,0.97191,0.98795,0.94004,1.23195,0.28831,0,0.54741,1.03057,0.0013928,0.0013928,0.0013928
48,533.231,1.29362,0.41779,0,0.61037,1.02453,0.96709,0.96556,0.98601,0.65207,0.97345,0.9735,0.98952,0.94827,1.21223,0.27233,0,0.53162,1.02673,0.0013796,0.0013796,0.0013796
49,546.183,1.29454,0.42949,0,0.61021,1.0252,0.96007,0.96555,0.98458,0.65698,0.96587,0.97138,0.9883,0.94578,1.2014,0.28154,0,0.53044,1.02578,0.0013664,0.0013664,0.0013664
